address;source_location;insn;indent
0x201cd5;/home/ahenches/Documents/isty/AOA/src/kernel.c:15;VCVTSS2SD	%XMM1,%XMM1,%XMM1;(2) 
0x201cd9;/home/ahenches/Documents/isty/AOA/src/kernel.c:15;VDIVSD	%XMM0,%XMM1,%XMM1;(2) 
0x201cdd;/home/ahenches/Documents/isty/AOA/src/kernel.c:15;VCVTSD2SS	%XMM1,%XMM1,%XMM1;(2) 
0x201ce1;/home/ahenches/Documents/isty/AOA/src/kernel.c:15;VMOVSS	%XMM1,(%RBX,%RCX,4);(2) 
0x201ce6;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;INC	%RCX;(2) 
0x201ce9;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;CMP	%RCX,%RBP;(2) 
0x201cec;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;JNE	201cd0 <kernel+0xf0>;(2) 
0x201cee;/home/ahenches/Documents/isty/AOA/src/kernel.c:16;MOV	%RAX,%RDI;
0x201cf1;/home/ahenches/Documents/isty/AOA/src/kernel.c:16;ADD	$0x8,%RSP;
0x201cf5;/home/ahenches/Documents/isty/AOA/src/kernel.c:16;POP	%RBX;
0x201cf6;/home/ahenches/Documents/isty/AOA/src/kernel.c:16;POP	%R14;
0x201cf8;/home/ahenches/Documents/isty/AOA/src/kernel.c:16;POP	%R15;
0x201cfa;/home/ahenches/Documents/isty/AOA/src/kernel.c:16;POP	%RBP;
0x201cfb;/home/ahenches/Documents/isty/AOA/src/kernel.c:16;VZEROUPPER;
0x201cfe;/home/ahenches/Documents/isty/AOA/src/kernel.c:16;JMP	202170 <@plt_start@+0x20>;
0x201d03;:0;NOPW	%CS:(%RAX,%RAX,1);
